Sample	City	Environment	ARG_Class	Abundance
DRR480202	Kolkata	Controlled	APH(2'')-IIIa	28
DRR480202	Kolkata	Controlled	APH(2'')-IIa	284
DRR480202	Kolkata	Controlled	APH(2'')-IVa	2
DRR480202	Kolkata	Controlled	APH(2'')-Ie	42
DRR480202	Kolkata	Controlled	APH(2'')-If	33
DRR480202	Kolkata	Controlled	APH(2'')-Ig	51
DRR480202	Kolkata	Controlled	APH(3'')-Ia	1142
DRR480202	Kolkata	Controlled	APH(3'')-Ib	3543
DRR480202	Kolkata	Controlled	APH(3'')-Ic	540
DRR480202	Kolkata	Controlled	APH(3')-IIIa	291
DRR480202	Kolkata	Controlled	APH(3')-IIa	177
DRR480202	Kolkata	Controlled	APH(3')-IIb	138
DRR480202	Kolkata	Controlled	APH(3')-IIc	156
DRR480202	Kolkata	Controlled	APH(3')-IVa	302
DRR480202	Kolkata	Controlled	APH(3')-IXa	10
DRR480202	Kolkata	Controlled	APH(3')-Ia	234
DRR480202	Kolkata	Controlled	APH(3')-Ib	254
DRR480202	Kolkata	Controlled	APH(3')-VIIIa	43
DRR480202	Kolkata	Controlled	APH(3')-VIIIb	29
DRR480202	Kolkata	Controlled	APH(3')-VIIa	32
DRR480202	Kolkata	Controlled	APH(3')-VIa	5
DRR480202	Kolkata	Controlled	APH(3')-VIb	18
DRR480202	Kolkata	Controlled	APH(3')-Va	124
DRR480202	Kolkata	Controlled	APH(3')-Vb	51
DRR480202	Kolkata	Controlled	APH(3')-Vc	77
DRR480202	Kolkata	Controlled	APH(4)-Ia	86
DRR480202	Kolkata	Controlled	APH(4)-Ib	12
DRR480202	Kolkata	Controlled	APH(6)-Ia	536
DRR480202	Kolkata	Controlled	APH(6)-Ib	1129
DRR480202	Kolkata	Controlled	APH(6)-Ic	325
DRR480202	Kolkata	Controlled	APH(6)-Id	3622
DRR480202	Kolkata	Controlled	APH(7'')-Ia	44
DRR480202	Kolkata	Controlled	APH(9)-Ia	153
DRR480202	Kolkata	Controlled	APH(9)-Ib	331
DRR480202	Kolkata	Controlled	APH(9)-Ic	399
DRR480202	Kolkata	Controlled	AQU-1	43
DRR480202	Kolkata	Controlled	AQU-2	29
DRR480202	Kolkata	Controlled	AQU-3	13
DRR480202	Kolkata	Controlled	ARL-1	25
DRR480202	Kolkata	Controlled	ARL-2	14
DRR480202	Kolkata	Controlled	ARL-4	4
DRR480202	Kolkata	Controlled	ARL-5	26
DRR480202	Kolkata	Controlled	AST-1	13
DRR480202	Kolkata	Controlled	ASU1-1	42
DRR480202	Kolkata	Controlled	AXC-1	13
DRR480202	Kolkata	Controlled	AXC-2	3
DRR480202	Kolkata	Controlled	AXC-3	10
DRR480202	Kolkata	Controlled	AXC-4	1
DRR480202	Kolkata	Controlled	AXC-6	1
DRR480202	Kolkata	Controlled	Abau_AbaF	18349
DRR480202	Kolkata	Controlled	Abau_AbaQ	2094
DRR480202	Kolkata	Controlled	Abau_AmvA	1654
DRR480202	Kolkata	Controlled	Acla_ACT_CHL	6
DRR480202	Kolkata	Controlled	AcrE	614
DRR480202	Kolkata	Controlled	AcrF	3110
DRR480202	Kolkata	Controlled	AcrS	3771
DRR480202	Kolkata	Controlled	Afab_ACT_CHL	2287
DRR480202	Kolkata	Controlled	ArnT	723
DRR480202	Kolkata	Controlled	AxyX	254
DRR480202	Kolkata	Controlled	AxyY	1189
DRR480202	Kolkata	Controlled	B3SU1-1	470
DRR480202	Kolkata	Controlled	B3SU2-1	89
DRR480202	Kolkata	Controlled	BAT-1	38
DRR480202	Kolkata	Controlled	BCL-1	33
DRR480202	Kolkata	Controlled	BES-1	33
DRR480202	Kolkata	Controlled	BIC-1	2
DRR480202	Kolkata	Controlled	BIL-1	8
DRR480202	Kolkata	Controlled	BIM-1	21
DRR480202	Kolkata	Controlled	BJP-1	296
DRR480202	Kolkata	Controlled	BKC-1	13
DRR480202	Kolkata	Controlled	BLMT	138
DRR480202	Kolkata	Controlled	BMHC-1	61
DRR480202	Kolkata	Controlled	BOR-1	22
DRR480202	Kolkata	Controlled	BPU-1	62
DRR480202	Kolkata	Controlled	BRO-1	148
DRR480202	Kolkata	Controlled	BRO-2	15
DRR480202	Kolkata	Controlled	BRP(MBL)	245
DRR480202	Kolkata	Controlled	BSU-1	50
DRR480202	Kolkata	Controlled	BUT-1	3
DRR480202	Kolkata	Controlled	BUT-2	135
DRR480202	Kolkata	Controlled	Bado_rpoB_RIF	51590
DRR480202	Kolkata	Controlled	BahA	877
DRR480202	Kolkata	Controlled	Bbif_ileS_MUP	39401
DRR480202	Kolkata	Controlled	BcI	9
DRR480202	Kolkata	Controlled	BcII	102
DRR480202	Kolkata	Controlled	BcIII	27
DRR480202	Kolkata	Controlled	Bla1	14
DRR480202	Kolkata	Controlled	Bla2	66
DRR480202	Kolkata	Controlled	BlaB-10	4
DRR480202	Kolkata	Controlled	BlaB-14	4
DRR480202	Kolkata	Controlled	BlaB-16	5
DRR480202	Kolkata	Controlled	BlaB-28	1
DRR480202	Kolkata	Controlled	BlaB-29	6
DRR480202	Kolkata	Controlled	BlaB-3	6
DRR480202	Kolkata	Controlled	BlaB-31	1
DRR480202	Kolkata	Controlled	BlaB-32	4
DRR480202	Kolkata	Controlled	BlaB-34	2
DRR480202	Kolkata	Controlled	BlaB-39	2
DRR480202	Kolkata	Controlled	BlaB-9	7
DRR480202	Kolkata	Controlled	Bpse_Omp38	860
DRR480202	Kolkata	Controlled	Bpum_cat86	83
DRR480202	Kolkata	Controlled	Bsub_mprF	432
DRR480202	Kolkata	Controlled	Bsui_mprF	923
